"TimePeriod","CampaignId","CampaignName","DeviceType","Network","Impressions","Clicks","Spend","Ctr","AverageCpc","QualityScore","AdDistribution","AverageCpm"
"2019-11-12","353847373","Main Shopping - Important Items","Smartphone","Audience","420","3","0.81","0.71%","0.27","--","Audience","1.93"
"2019-11-12","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","185","3","0.96","1.62%","0.32","--","Search","5.19"
"2019-11-12","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","258","1","0.09","0.39%","0.09","--","Search","0.35"
"2019-11-12","353847373","Main Shopping - Important Items","Tablet","AOL search","36","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-12","353847373","Main Shopping - Important Items","Tablet","Audience","29","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","444","3","2.01","0.68%","0.67","--","Search","4.53"
"2019-11-20","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","23","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Computer","AOL search","2","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Computer","Audience","140","3","1.64","2.14%","0.55","--","Audience","11.71"
"2019-11-20","353847373","Main Shopping - Important Items","Smartphone","Bing and Yahoo! search","46","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Smartphone","Syndicated search partners","140","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Smartphone","Audience","7","0","0.00","0.00%","0.00","--","Audience","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Tablet","Bing and Yahoo! search","7","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-20","353847373","Main Shopping - Important Items","Tablet","Syndicated search partners","5","0","0.00","0.00%","0.00","--","Search","0.00"
"2019-11-21","353847373","Main Shopping - Important Items","Computer","Bing and Yahoo! search","22278","313","172.46","1.40%","0.55","--","Search","7.74"
"2019-11-21","353847373","Main Shopping - Important Items","Computer","Syndicated search partners","691","8","3.12","1.16%","0.39","--","Search","4.52"
"2019-11-21","353847373","Main Shopping - Important Items","Computer","AOL search","184","1","0.70","0.54%","0.70","--","Search","3.80"
